ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"222.221.247.114","elite","AS4134","CN","Chinanet","295","Chinanet YN","5678","socks4","4894","1","2023-12-12T07:31:53.325Z","82","4176","5089"
"197.234.13.97","elite","AS36902","SC","Intelvision","167","Intelvision Ltd","4145","socks4","5299","1","2023-12-12T07:31:53.412Z","99","5136","5178"
"103.70.206.129","elite","AS135712","IN","Euron Communications Pvt. Ltd","184","Euron Communications Pvt. Ltd.","59311","socks4","2280","1","2023-12-12T07:31:53.411Z","99","5140","5177"
"38.127.173.40","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks4","3298","1","2023-12-12T07:31:53.422Z","100","5125","5130"
"43.153.3.241","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks4","4490","81","2023-12-12T07:31:53.327Z","90","4611","5131"
"35.196.18.239","elite","AS15169","US","Google LLC","100","Google Cloud (us-east1)","80","socks5","5293","1","2023-12-12T07:31:53.323Z","100","5148","5150"
"51.158.111.242","elite","AS12876","FR","SCALEWAY","2","ONLINE","8811","socks4","4295","1","2023-12-12T07:31:53.426Z","62","3220","5205"
"195.154.243.38","elite","AS12876","FR","Online S.A.S.","3","ONLINE","49685","socks4","4695","1","2023-12-12T07:31:53.699Z","80","4086","5115"
"103.84.175.33","elite","AS136246","BD","Tomattos Technologies Ltd","198","Tomattos Technologies Ltd.","4153","socks4","5101","1","2023-12-12T07:31:49.919Z","99","5134","5185"
"138.201.248.43","elite","AS24940","DE","Hetzner Online GmbH","90","Hetzner","31043","socks5","4405","1","2023-12-12T07:31:46.224Z","95","4945","5206"
"206.189.85.92","elite","AS14061","SG","DigitalOcean, LLC","181","DigitalOcean, LLC","7497","socks5","5210","2","2023-12-12T07:31:46.415Z","100","5105","5108"
"95.161.151.238","elite","AS8492","RU","\"OBIT\" Ltd.","98","EKS","1080","socks5","2717","1","2023-12-12T07:31:46.219Z","100","5234","5256"
"46.214.153.223","elite","AS48161","RO","SC NextGen Communications SRL","94","SC NextGen Communications SRL","5678","socks4","3696","1","2023-12-12T07:31:43.410Z","100","5101","5124"
"192.99.35.177","elite","AS16276","CA","OVH SAS","85","OVH Hosting, Inc.","36077","socks4","2804","1","2023-12-12T07:31:43.507Z","51","2567","5050"
"69.163.160.197","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","1645","socks4","1898","1","2023-12-12T07:31:43.409Z","100","5182","5183"
"36.95.48.45","elite","AS7713","ID","PT. Telekomunikasi Indonesia","193","Telekomunikasi Indonesia","1080","socks4","3100","1","2023-12-12T07:31:43.404Z","98","5140","5226"
"212.43.122.158","elite","AS21034","IT","MICSO-WADSL","99","Micso S.r.l.","1080","socks4","3203","2","2023-12-12T07:31:43.407Z","100","5166","5168"
"179.99.202.210","elite","AS27699","BR","Vivo","221","TELEF�NICA BRASIL S.A","4153","socks4","1994","1","2023-12-12T07:31:43.403Z","100","5177","5196"
"113.53.61.69","elite","AS23969","TH","TOT Public Company Limited","199","TOT Public Company Limited","4153","socks4","5014","1","2023-12-12T07:31:42.915Z","73","3805","5206"
"181.65.121.34","elite","AS6147","PE","TDP-GRS","184","PE-TDP-GRS","8080","socks4","3898","1","2023-12-12T07:31:42.809Z","100","5098","5107"
"190.113.90.230","elite","AS264637","GT","Blue Consulting Group, S. A.","184","BlueNet-BFgt","5678","socks4","4415","1","2023-12-12T07:31:42.818Z","100","5058","5078"
"192.169.249.16","elite","AS26496","US","GoDaddy.com, LLC","187","GoDaddy.com, LLC","8362","socks4","5212","2","2023-12-12T07:31:42.725Z","99","5103","5159"
"66.97.37.164","elite","AS27823","AR","Dattatec.com","245","Dattatec Corp","80","socks4","399","1","2023-12-12T07:31:42.817Z","100","5189","5203"
"185.171.55.162","elite","AS44285","IR","Shahrad Network","91","N/A","4153","socks4","4714","1","2023-12-12T07:31:42.723Z","96","4951","5180"
"137.184.142.37","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","443","socks4","4799","1","2023-12-12T07:31:39.619Z","98","5004","5131"
"119.148.16.93","elite","AS23923","BD","Agni Systems Ltd. SUB","200","Agni Systems Limited","1088","socks4","4299","82","2023-12-12T07:31:39.614Z","99","5054","5098"
